ID,DEPARTAMENTO,CABECERA,PROVINCIA
425,"ORAN","SANRAMONDELANUEVAORAN","SALTA"
426,"MATACOS","INGENIEROJUAREZ","FORMOSA"
427,"ANTA","JOAQUINVICTORGONZALEZ","SALTA"
428,"ALMIRANTEBROWN","PAMPADELINFIERNO","CHACO"
429,"COPO","MONTEQUEMADO","SANTIAGODELESTERO"
430,"RIOHONDO","TERMASDERIOHONDO","SANTIAGODELESTERO"
431,"ROSARIODELAFRONTERA","ROSARIODELAFRONTERA","SALTA"
432,"CAPITAL","LARIOJA","LARIOJA"
433,"RIOSECO","VILLADEMARIA","CORDOBA"
434,"VALLEFERTIL","VILLASANAGUSTIN","SANJUAN"
435,"IGLESIA","RODEO","SANJUAN"
436,"SARMIENTO","VILLAMEDIAAGUA","SANJUAN"
437,"LASHERAS","LASHERAS","MENDOZA"
438,"LAVALLE","VILLATULUMAYA","MENDOZA"
439,"MALARG\u00dcE","MALARG\u009aE","MENDOZA"
440,"AVELLANEDA","CHOELECHOEL","RIONEGRO"
441,"GENERALROCA","GENERALROCA","RIONEGRO"
442,"PICHIMAHUIDA","RIOCOLORADO","RIONEGRO"
443,"ADOLFOALSINA","VIEDMA","RIONEGRO"
444,"USHUAIA","USHUAIA","TIERRADELFUEGO"
445,"RIOSENGUER","ALTORIOSENGUER","CHUBUT"
446,"BARILOCHE","SANCARLOSDEBARILOCHE","RIONEGRO"
447,"SANFERNANDO","RESISTENCIA","CHACO"
448,"SANCOSME","SANCOSME","CORRIENTES"
449,"CHACABUCO","CONCARAN","SANLUIS"
450,"JUANMARTINDEPUEYRREDON","SANLUIS","SANLUIS"
451,"GENERALPEDERNERA","VILLAMERCEDES","SANLUIS"
452,"LIBERTADORGENERALSANMARTIN","","SANLUIS"
453,"CORONELPRINGLES","LATOMA","SANLUIS"
454,"JUNIN","SANTAROSADECONLARA","SANLUIS"
455,"BELGRANO","VILLAGENERALROCA","SANLUIS"
456,"LOSLAGOS","VILLALAANGOSTURA","NEUQUEN"
457,"LACAR","SANMARTINDELOSANDES","NEUQUEN"
458,"COLLONCURA","PIEDRADELAGUILA","NEUQUEN"
459,"HUILICHES","JUNINDELOSANDES","NEUQUEN"
460,"CATANLIL","LASCOLORADAS","NEUQUEN"
461,"PICUNLEUFU","PICUNLEUFU","NEUQUEN"
462,"ALUMINE","ALUMINE","NEUQUEN"
463,"ZAPALA","ZAPALA","NEUQUEN"
