ID,DEPARTAMENTO,CABECERA,PROVINCIA
273,"CONHELO","EDUARDOCASTEX","LAPAMPA"
274,"TILCARA","TILCARA","JUJUY"
275,"PALPALA","PALPALA","JUJUY"
276,"COCHINOCA","ABRAPAMPA","JUJUY"
277,"TUMBAYA","TUMBAYA","JUJUY"
278,"DOCTORMANUELBELGRANO","SANSALVADORDEJUJUY","JUJUY"
279,"SANANTONIO","SANANTONIO","JUJUY"
280,"ELCARMEN","ELCARMEN","JUJUY"
281,"SANTABARBARA","SANTACLARA","JUJUY"
282,"LEDESMA","LIBERTADORGENERALSANMARTIN","JUJUY"
283,"HUMAHUACA","HUMAHUACA","JUJUY"
284,"YAVI","LAQUIACA","JUJUY"
285,"SANTACATALINA","SANTACATALINA","JUJUY"
286,"SANPEDRO","SANPEDRO","JUJUY"
287,"12DEOCTUBRE","GENERALPINEDO","CHACO"
288,"VALLEGRANDE","VALLEGRANDE","JUJUY"
289,"RINCONADA","RINCONADA","JUJUY"
290,"CHACABUCO","CHARATA","CHACO"
291,"RAMONLISTA","GENERALMOSCONI","FORMOSA"
292,"PILCOMAYO","CLORINDA","FORMOSA"
293,"FORMOSA","FORMOSA","FORMOSA"
294,"CAPITAL","SANFERNANDODELVALLEDECATAMARCA","CATAMARCA"
295,"ANCASTI","ANCASTI","CATAMARCA"
296,"BELEN","BELEN","CATAMARCA"
297,"SANTAMARIA","SANTAMARIA","CATAMARCA"
298,"ANDALGALA","ANDALGALA","CATAMARCA"
299,"AMBATO","LAPUERTA","CATAMARCA"
300,"PACLIN","LAMERCED","CATAMARCA"
301,"SANTAROSA","BAYADODEOVANTA","CATAMARCA"
302,"ELALTO","ELALTO","CATAMARCA"
303,"SOBREMONTE","SANFRANCISCODELCHAYAR","CORDOBA"
304,"LAPAZ","SANANTONIO","CATAMARCA"
305,"POMAN","SAUJIL","CATAMARCA"
306,"RIOGRANDE","RIOGRANDE","TIERRADELFUEGO"
307,"MARTIRES","LASPLUMAS","CHUBUT"
308,"PASODEINDIOS","PASODELOSINDIOS","CHUBUT"
309,"MAGALLANES","SANJULIAN","SANTACRUZ"
310,"SARGENTOCABRAL","COLONIAELISA","CHACO"
311,"COMANDANTEFERNANDEZ","PRESIDENCIAROQUESAENZPENA","CHACO"
312,"INDEPENDENCIA","CAMPOLARGO","CHACO"
313,"CORPENAIKE","PUERTOSANTACRUZ","SANTACRUZ"
314,"DESEADO","PUERTODESEADO","SANTACRUZ"
315,"CONESA","GENERALCONESA","RIONEGRO"
316,"LANGUINEO","TECKA","CHUBUT"
317,"GAIMAN","GAIMAN","CHUBUT"
318,"GENERALBELGRANO","CORZUELA","CHACO"
319,"GENERALDONOVAN","MAKALLE","CHACO"
320,"RAWSON","RAWSON","CHUBUT"
321,"TEHUELCHES","JOSEDESANMARTIN","CHUBUT"
322,"ESCALANTE","COMODORORIVADAVIA","CHUBUT"
323,"FLORENTINOAMEGHINO","CAMARONES","CHUBUT"
324,"25DEMAYO","MACHAGAI","CHACO"
325,"GENERALLAMADRID","VILLACASTELLI","LARIOJA"
326,"CALINGASTA","TAMBERIAS","SANJUAN"
327,"MAIPU","TRESISLETAS","CHACO"
328,"1DEMAYO","MARGARITABELEN","CHACO"
329,"TULUMBA","VILLATULUMBA","CORDOBA"
330,"ISCHILIN","DEANFUNES","CORDOBA"
331,"TOTORAL","VILLADELTOTORAL","CORDOBA"
332,"CRUZDELEJE","CRUZDELEJE","CORDOBA"
333,"COLON","JESUSMARIA","CORDOBA"
334,"PUNILLA","COSQUIN","CORDOBA"
335,"CAPITAL","CORDOBA","CORDOBA"
336,"GENERALSANMARTIN","VILLAMARIA","CORDOBA"
337,"SANTAMARIA","ALTAGRACIA","CORDOBA"
338,"MINAS","SANCARLOSMINAS","CORDOBA"
339,"POCHO","SALSACATE","CORDOBA"
340,"SANALBERTO","VILLACURABROCHERO","CORDOBA"
341,"SANJAVIER","VILLADOLORES","CORDOBA"
342,"RIOSEGUNDO","VILLADELROSARIO","CORDOBA"
343,"SANJUSTO","SANFRANCISCO","CORDOBA"
344,"UNION","BELVILLE","CORDOBA"
345,"RIOPRIMERO","SANTAROSADERIOPRIMERO","CORDOBA"
346,"MARCOSJUAREZ","MARCOSJUAREZ","CORDOBA"
347,"RIOCUARTO","RIOCUARTO","CORDOBA"
348,"ANTOFAGASTADELASIERRA","ANTOFAGASTADELASIERRA","CATAMARCA"
349,"TINOGASTA","TINOGASTA","CATAMARCA"
350,"GENERALROCA","VILLAHUIDOBRO","CORDOBA"
351,"LEANDRONALEM","VEDIA","BUENOSAIRES"
352,"TUPUNGATO","TUPUNGATO","MENDOZA"
353,"TUNUYAN","TUNUYAN","MENDOZA"
354,"LUJANDECUYO","LUJANDECUYO","MENDOZA"
355,"FUTALEUFU","ESQUEL","CHUBUT"
356,"RIOCHICO","GOBERNADORGREGORES","SANTACRUZ"
357,"LAGOARGENTINO","CALAFATE","SANTACRUZ"
358,"SANJAVIER","SANJAVIER","MISIONES"
359,"CONCEPCION","CONCEPCIONDELASIERRA","MISIONES"
360,"GUARANI","ELSOBERBIO","MISIONES"
361,"GENERALARENALES","GENERALARENALES","BUENOSAIRES"
362,"25DEMAYO","ALBAPOSSE","MISIONES"
363,"OBERA","OBERA","MISIONES"
364,"GENERALMANUELBELGRANO","BERNARDODEIRIGOYEN","MISIONES"
365,"SANIGNACIO","SANIGNACIO","MISIONES"
366,"PIRANE","PIRANE","FORMOSA"
367,"PATINO","COMANDANTEFONTANA","FORMOSA"
368,"BERMEJO","LAGUNAYEMA","FORMOSA"
369,"BERMEJO","LALEONESA","CHACO"
370,"LIBERTADORGENERALSANMARTIN","GENERALJOSESANMARTIN","CHACO"
371,"GENERALGUEMES","JUANJOSECASTELLI","CHACO"
372,"PILAGAS","ELESPINILLO","FORMOSA"
373,"VALCHETA","VALCHETA","RIONEGRO"
374,"SANANTONIO","SANANTONIOOESTE","RIONEGRO"
375,"LAISHI","SANFRANCISCODELAISHI","FORMOSA"
376,"9DEJULIO","SIERRACOLORADA","RIONEGRO"
377,"NORQUINCO","NORQUINCO","RIONEGRO"
378,"25DEMAYO","MAQUINCHAO","RIONEGRO"
