ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
233,"CAFAYATE","CAFAYATE","SALTA",1572
234,"JUNIN","JUNIN","MENDOZA",2308
235,"RIVADAVIA","RIVADAVIA","MENDOZA",2200
236,"GENERALALVEAR","GENERALALVEAR","MENDOZA",130
237,"MOLINOS","MOLINOS","SALTA",90
238,"CASTROBARROS","AMINGA","LARIOJA",1284
239,"GENERALGUEMES","GENERALMARTINM.GUEMES","SALTA",85
240,"SANAGASTA","VILLASANAGASTA","LARIOJA",236
241,"SANCARLOS","SANCARLOS","SALTA",102
242,"GENERALOCAMPO","VILLASANTARITADECATUNA","LARIOJA",1230
243,"ROSARIODELERMA","ROSARIODELEMA","SALTA",4505
244,"SANMARTIN","SANMARTIN","MENDOZA",346
245,"LAPAZ","LAPAZ","MENDOZA",6912
246,"SANRAFAEL","SANRAFAEL","MENDOZA",1659
247,"CHILECITO","CHILECITO","LARIOJA",60
248,"GENERALANGELV.PENALOZA","TAMA","LARIOJA",186
249,"GENERALBELGRANO","OLTA","LARIOJA",346
250,"CHAMICAL","CHAMICAL","LARIOJA",28
251,"INDEPENDENCIA","PATQUIA","LARIOJA",30
252,"GENERALJUANF.QUIROGA","MALANZAN","LARIOJA",384
253,"ROSARIOVERAPENALOZA","CHEPES","LARIOJA",51
254,"GENERALSANMARTIN","ULAPES","LARIOJA",16
255,"VINCHINA","VILLASANJOSEDEVINCHINA","LARIOJA",119
256,"FAMATINA","FAMATINA","LARIOJA",566
257,"LIBERTAD","PUERTOTIROL","CHACO",22
258,"SANBLASDELOSSAUCES","SANBLAS","LARIOJA",320
259,"ARAUCO","AIMOGASTA","LARIOJA",1084
260,"REALICO","REALICO","LAPAMPA",300
261,"TRENEL","TRENEL","LAPAMPA",80
262,"CHALILEO","SANTAISABEL","LAPAMPA",482
263,"LOVENTUE","VICTORICA","LAPAMPA",1117
264,"TOAY","TOAY","LAPAMPA",8667
265,"CAPITAL","SANTAROSA","LAPAMPA",10
266,"LIMAYMAHUIDA","LIMAYMAHUIDA","LAPAMPA",1617
267,"UTRACAN","GENERALACHA","LAPAMPA",2629
268,"MAYORLUISJ.FONTANA","VILLAANGELA","CHACO",56
269,"CURACO","PUELCHES","LAPAMPA",311
270,"FRAYJUSTOSANTAMARIADEORO","SANTASYLVINA","CHACO",3
271,"LIHUELCALEL","CUCHILLOCO","LAPAMPA",482
272,"RANCUL","PARERA","LAPAMPA",819
273,"CONHELO","EDUARDOCASTEX","LAPAMPA",635
274,"TILCARA","TILCARA","JUJUY",1656
275,"PALPALA","PALPALA","JUJUY",383
276,"COCHINOCA","ABRAPAMPA","JUJUY",226
277,"TUMBAYA","TUMBAYA","JUJUY",0
278,"DOCTORMANUELBELGRANO","SANSALVADORDEJUJUY","JUJUY",146
279,"SANANTONIO","SANANTONIO","JUJUY",2756
280,"ELCARMEN","ELCARMEN","JUJUY",304
281,"SANTABARBARA","SANTACLARA","JUJUY",2352
282,"LEDESMA","LIBERTADORGENERALSANMARTIN","JUJUY",776
283,"HUMAHUACA","HUMAHUACA","JUJUY",863
284,"YAVI","LAQUIACA","JUJUY",53
285,"SANTACATALINA","SANTACATALINA","JUJUY",2437
286,"SANPEDRO","SANPEDRO","JUJUY",634
287,"12DEOCTUBRE","GENERALPINEDO","CHACO",33
288,"VALLEGRANDE","VALLEGRANDE","JUJUY",168
289,"RINCONADA","RINCONADA","JUJUY",1038
290,"CHACABUCO","CHARATA","CHACO",128
291,"RAMONLISTA","GENERALMOSCONI","FORMOSA",1018
292,"PILCOMAYO","CLORINDA","FORMOSA",3184
293,"FORMOSA","FORMOSA","FORMOSA",7316
294,"CAPITAL","SANFERNANDODELVALLEDECATAMARCA","CATAMARCA",34
295,"ANCASTI","ANCASTI","CATAMARCA",353
296,"BELEN","BELEN","CATAMARCA",421
297,"SANTAMARIA","SANTAMARIA","CATAMARCA",473
298,"ANDALGALA","ANDALGALA","CATAMARCA",93
299,"AMBATO","LAPUERTA","CATAMARCA",81
300,"PACLIN","LAMERCED","CATAMARCA",146
301,"SANTAROSA","BAYADODEOVANTA","CATAMARCA",28
302,"ELALTO","ELALTO","CATAMARCA",75
303,"SOBREMONTE","SANFRANCISCODELCHAYAR","CORDOBA",466
304,"LAPAZ","SANANTONIO","CATAMARCA",277
305,"POMAN","SAUJIL","CATAMARCA",13933
306,"RIOGRANDE","RIOGRANDE","TIERRADELFUEGO",58
307,"MARTIRES","LASPLUMAS","CHUBUT",132
308,"PASODEINDIOS","PASODELOSINDIOS","CHUBUT",1239
309,"MAGALLANES","SANJULIAN","SANTACRUZ",177
310,"SARGENTOCABRAL","COLONIAELISA","CHACO",4904
311,"COMANDANTEFERNANDEZ","PRESIDENCIAROQUESAENZPENA","CHACO",369
312,"INDEPENDENCIA","CAMPOLARGO","CHACO",524
313,"CORPENAIKE","PUERTOSANTACRUZ","SANTACRUZ",16166
314,"DESEADO","PUERTODESEADO","SANTACRUZ",383
315,"CONESA","GENERALCONESA","RIONEGRO",94
316,"LANGUINEO","TECKA","CHUBUT",826
317,"GAIMAN","GAIMAN","CHUBUT",67
318,"GENERALBELGRANO","CORZUELA","CHACO",310
